device_id,device_info,os,browser,screen,device_type
P4526A Build/NRD90M||chrome 62.0 for android|,P4526A Build/NRD90M,,chrome 62.0 for android,,mobile
en-us|Android|chrome generic|1920x1080,en-us,Android,chrome generic,1920x1080,mobile
SM-G920F Build/NRD90M||chrome 63.0 for android|,SM-G920F Build/NRD90M,,chrome 63.0 for android,,mobile
Windows|Windows 7|chrome 58.0|1440x900,Windows,Windows 7,chrome 58.0,1440x900,desktop
HTC Desire 626s Build/LMY47O|Android|chrome generic|1184x720,HTC Desire 626s Build/LMY47O,Android,chrome generic,1184x720,mobile
MacOS|Mac OS X 10_12_5|chrome 63.0|1280x800,MacOS,Mac OS X 10_12_5,chrome 63.0,1280x800,desktop
Blade V6 Build/LRX22G||chrome 63.0 for android|,Blade V6 Build/LRX22G,,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_13_2|safari generic|1152x720,MacOS,Mac OS X 10_13_2,safari generic,1152x720,desktop
SM-G900P Build/MMB29M|Android 6.0.1|chrome 61.0 for android|1920x1080,SM-G900P Build/MMB29M,Android 6.0.1,chrome 61.0 for android,1920x1080,mobile
SM-G530H Build/LRX22G||chrome 60.0 for android|,SM-G530H Build/LRX22G,,chrome 60.0 for android,,mobile
Windows|Windows 7|chrome 63.0|1440x810,Windows,Windows 7,chrome 63.0,1440x810,desktop
BLADE A520 Build/NRD90M||chrome 60.0 for android|,BLADE A520 Build/NRD90M,,chrome 60.0 for android,,mobile
iOS Device|iOS 11.2.1|mobile safari 11.0|2436x1125,iOS Device,iOS 11.2.1,mobile safari 11.0,2436x1125,mobile
rv:51.0|Windows 7|firefox|1920x1080,rv:51.0,Windows 7,firefox,1920x1080,desktop
Windows|Windows 10|chrome 57.0|1280x1025,Windows,Windows 10,chrome 57.0,1280x1025,desktop
Windows|Windows 8|chrome 60.0|1920x1080,Windows,Windows 8,chrome 60.0,1920x1080,desktop
XT1575|Android 7.0|chrome 63.0 for android|2562x1442,XT1575,Android 7.0,chrome 63.0 for android,2562x1442,mobile
Windows|Windows 10|chrome 63.0|1400x1050,Windows,Windows 10,chrome 63.0,1400x1050,desktop
Z835 Build/NMF26V|Android 7.1.1|chrome|855x480,Z835 Build/NMF26V,Android 7.1.1,chrome,855x480,mobile
MacOS|Mac OS X 10_11_6|safari generic|1280x720,MacOS,Mac OS X 10_11_6,safari generic,1280x720,desktop
MacOS|Mac OS X 10_13_2|chrome 62.0|1366x768,MacOS,Mac OS X 10_13_2,chrome 62.0,1366x768,desktop
Android 7.0|||,Android 7.0,,,,mobile
SM-N920T Build/NRD90M|Android 7.0|chrome 63.0 for android|,SM-N920T Build/NRD90M,Android 7.0,chrome 63.0 for android,,mobile
rv:46.0|Mac OS X 10.13|firefox|1920x1080,rv:46.0,Mac OS X 10.13,firefox,1920x1080,desktop
MacOS|Mac OS X 10_12_4|chrome 62.0|1920x1080,MacOS,Mac OS X 10_12_4,chrome 62.0,1920x1080,desktop
MacOS|Mac OS X 10_11_6|other|2880x1800,MacOS,Mac OS X 10_11_6,other,2880x1800,mobile
SM-J120H Build/LMY47V||chrome 56.0 for android|,SM-J120H Build/LMY47V,,chrome 56.0 for android,,mobile
Windows|Windows 7|chrome 60.0|1280x1025,Windows,Windows 7,chrome 60.0,1280x1025,desktop
MacOS|Mac OS X 10_11_6|chrome|1920x1200,MacOS,Mac OS X 10_11_6,chrome,1920x1200,desktop
MacOS|Mac OS X 10_12_6|safari generic|1600x1000,MacOS,Mac OS X 10_12_6,safari generic,1600x1000,desktop
rv:48.0|Mac OS X 10.12|firefox 48.0|2880x1800,rv:48.0,Mac OS X 10.12,firefox 48.0,2880x1800,desktop
REVVLPLUS|Android 7.1.1|chrome 58.0 for android|1920x1080,REVVLPLUS,Android 7.1.1,chrome 58.0 for android,1920x1080,mobile
HTC|Android 6.0|chrome 63.0 for android|1920x1080,HTC,Android 6.0,chrome 63.0 for android,1920x1080,mobile
MacOS|Mac OS X 10_13_1|chrome 58.0|1280x800,MacOS,Mac OS X 10_13_1,chrome 58.0,1280x800,desktop
Trident/7.0|Windows 10|ie 11.0 for desktop|1360x768,Trident/7.0,Windows 10,ie 11.0 for desktop,1360x768,desktop
iOS Device|iOS 11.0.2|mobile safari generic|1334x750,iOS Device,iOS 11.0.2,mobile safari generic,1334x750,mobile
HTC Desire 10 lifestyle Build/MMB29M||chrome 63.0 for android|,HTC Desire 10 lifestyle Build/MMB29M,,chrome 63.0 for android,,mobile
Lenovo K33b36 Build/MMB29M||chrome 62.0 for android|,Lenovo K33b36 Build/MMB29M,,chrome 62.0 for android,,mobile
iOS Device|iOS 11.1.1|mobile safari 9.0|2732x2048,iOS Device,iOS 11.1.1,mobile safari 9.0,2732x2048,mobile
MacOS|Mac OS X 10_13_1|chrome 63.0|1600x900,MacOS,Mac OS X 10_13_1,chrome 63.0,1600x900,desktop
MacOS|Mac OS X 10_13_3|safari generic|1920x1080,MacOS,Mac OS X 10_13_3,safari generic,1920x1080,desktop
rv:57.0|Mac OS X 10.11|firefox 57.0|2560x1440,rv:57.0,Mac OS X 10.11,firefox 57.0,2560x1440,desktop
Windows|Windows 7|chrome|1600x900,Windows,Windows 7,chrome,1600x900,desktop
Windows|Windows 7|firefox 56.0|1366x768,Windows,Windows 7,firefox 56.0,1366x768,desktop
Windows|Windows Vista|chrome 49.0|1280x960,Windows,Windows Vista,chrome 49.0,1280x960,desktop
LG-H650 Build/MRA58K||chrome 61.0 for android|,LG-H650 Build/MRA58K,,chrome 61.0 for android,,mobile
SM-G900V Build/MMB29M|Android 6.0.1|chrome 58.0 for android|1920x1080,SM-G900V Build/MMB29M,Android 6.0.1,chrome 58.0 for android,1920x1080,mobile
iOS Device|iOS 11.2.1|mobile safari generic|1136x640,iOS Device,iOS 11.2.1,mobile safari generic,1136x640,mobile
Windows|Windows 7|chrome 63.0|1280x960,Windows,Windows 7,chrome 63.0,1280x960,desktop
SM-G950U Build/NRD90M|Android 7.0|chrome 63.0 for android|2960x1440,SM-G950U Build/NRD90M,Android 7.0,chrome 63.0 for android,2960x1440,mobile
SM-G532M Build/MMB29T||chrome 58.0 for android|,SM-G532M Build/MMB29T,,chrome 58.0 for android,,mobile
SM-G530P|Android 5.1.1|chrome 63.0 for android|960x540,SM-G530P,Android 5.1.1,chrome 63.0 for android,960x540,mobile
Nexus|Android 5.1.1|chrome 62.0 for android|2048x1536,Nexus,Android 5.1.1,chrome 62.0 for android,2048x1536,mobile
MacOS|Mac OS X 10_13_1|chrome 63.0|1366x768,MacOS,Mac OS X 10_13_1,chrome 63.0,1366x768,desktop
rv:56.0|Mac OS X 10.10|firefox 56.0|1680x1050,rv:56.0,Mac OS X 10.10,firefox 56.0,1680x1050,desktop
SM-J320FN Build/LMY47V||chrome 61.0 for android|,SM-J320FN Build/LMY47V,,chrome 61.0 for android,,mobile
MacOS|Mac OS X 10_12_4|chrome 62.0|5120x2880,MacOS,Mac OS X 10_12_4,chrome 62.0,5120x2880,desktop
rv:52.0|Windows Vista|firefox 52.0|1680x1050,rv:52.0,Windows Vista,firefox 52.0,1680x1050,desktop
Pixel 2 Build/OPM1.171019.011|Android 8.1.0|chrome 62.0 for android|,Pixel 2 Build/OPM1.171019.011,Android 8.1.0,chrome 62.0 for android,,mobile
SM-G550T1 Build/MMB29K|Android 6.0.1|chrome 62.0 for android|1280x720,SM-G550T1 Build/MMB29K,Android 6.0.1,chrome 62.0 for android,1280x720,mobile
LG-M327 Build/NRD90U|Android 7.0|chrome 56.0 for android|1280x720,LG-M327 Build/NRD90U,Android 7.0,chrome 56.0 for android,1280x720,mobile
ATT-IE11|Windows 7|ie 11.0 for desktop|1364x768,ATT-IE11,Windows 7,ie 11.0 for desktop,1364x768,desktop
iOS Device|iOS 11.2.1|mobile safari generic|2048x1536,iOS Device,iOS 11.2.1,mobile safari generic,2048x1536,mobile
Windows|Windows 10|chrome 63.0|2112x1188,Windows,Windows 10,chrome 63.0,2112x1188,desktop
SM-G955U1 Build/NRD90M|Android 7.0|chrome 63.0 for android|,SM-G955U1 Build/NRD90M,Android 7.0,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_11_6|chrome 63.0|5120x2880,MacOS,Mac OS X 10_11_6,chrome 63.0,5120x2880,desktop
MacOS|Mac OS X 10_13_2|chrome 62.0|1920x1080,MacOS,Mac OS X 10_13_2,chrome 62.0,1920x1080,desktop
F5121 Build/34.3.A.0.238||chrome 62.0 for android|,F5121 Build/34.3.A.0.238,,chrome 62.0 for android,,mobile
rv:57.0|Mac OS X 10.13|firefox 57.0|1600x900,rv:57.0,Mac OS X 10.13,firefox 57.0,1600x900,desktop
SM-T377V Build/NMF26X|Android 7.1.1|other|,SM-T377V Build/NMF26X,Android 7.1.1,other,,mobile
Windows|Windows XP|chrome 49.0|1366x768,Windows,Windows XP,chrome 49.0,1366x768,desktop
MacOS|Mac OS X 10_13_2|chrome 63.0|5040x3150,MacOS,Mac OS X 10_13_2,chrome 63.0,5040x3150,desktop
PSPC550 Build/LMY47D||chrome 63.0 for android|,PSPC550 Build/LMY47D,,chrome 63.0 for android,,mobile
XT1563||chrome 63.0 for android|,XT1563,,chrome 63.0 for android,,mobile
STV100-3|Android 6.0.1|chrome 63.0 for android|2562x1442,STV100-3,Android 6.0.1,chrome 63.0 for android,2562x1442,mobile
iOS Device|iOS 10.1.1|mobile safari generic|2048x1536,iOS Device,iOS 10.1.1,mobile safari generic,2048x1536,mobile
SM-G920V Build/MMB29K|Android 6.0.1|chrome 63.0 for android|2560x1440,SM-G920V Build/MMB29K,Android 6.0.1,chrome 63.0 for android,2560x1440,mobile
rv:57.0|Mac OS X 10.12|firefox 57.0|1366x768,rv:57.0,Mac OS X 10.12,firefox 57.0,1366x768,desktop
SM-A320Y||chrome 62.0 for android|,SM-A320Y,,chrome 62.0 for android,,mobile
HTC6545LVW|Android 7.0|chrome 63.0 for android|2560x1440,HTC6545LVW,Android 7.0,chrome 63.0 for android,2560x1440,mobile
SM-N900T Build/LRX21V|Android 5.0|chrome 63.0 for android|1920x1080,SM-N900T Build/LRX21V,Android 5.0,chrome 63.0 for android,1920x1080,mobile
GT-I9060M Build/KTU84P||chrome|,GT-I9060M Build/KTU84P,,chrome,,mobile
rv:52.0|Windows 10|firefox|1366x768,rv:52.0,Windows 10,firefox,1366x768,desktop
iOS Device|iOS 10.3.1|mobile safari generic|2208x1242,iOS Device,iOS 10.3.1,mobile safari generic,2208x1242,mobile
XT1030 Build/SU6-7.7|Android|chrome 62.0 for android|1280x720,XT1030 Build/SU6-7.7,Android,chrome 62.0 for android,1280x720,mobile
SM-S902L|Android 4.4.2|chrome 63.0 for android|1920x1080,SM-S902L,Android 4.4.2,chrome 63.0 for android,1920x1080,mobile
|Linux|chrome 57.0|1366x768,,Linux,chrome 57.0,1366x768,desktop
rv:57.0|Mac OS X 10.10|firefox 57.0|1920x1200,rv:57.0,Mac OS X 10.10,firefox 57.0,1920x1200,desktop
LG-X240 Build/MRA58K||chrome 63.0 for android|,LG-X240 Build/MRA58K,,chrome 63.0 for android,,mobile
GT-I9500||chrome 63.0 for android|,GT-I9500,,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_12_2|chrome 62.0|1280x800,MacOS,Mac OS X 10_12_2,chrome 62.0,1280x800,desktop
E6810 Build/5.320VZ.03.r|Android 7.1.2|other|1920x1080,E6810 Build/5.320VZ.03.r,Android 7.1.2,other,1920x1080,mobile
EVA-L09 Build/HUAWEIEVA-L09||chrome 60.0 for android|,EVA-L09 Build/HUAWEIEVA-L09,,chrome 60.0 for android,,mobile
SAMSUNG SM-G955U Build/NRD90M|Android 7.0|samsung browser 6.2|2961x1442,SAMSUNG SM-G955U Build/NRD90M,Android 7.0,samsung browser 6.2,2961x1442,mobile
SM-G935T Build/NRD90M||chrome 63.0 for android|,SM-G935T Build/NRD90M,,chrome 63.0 for android,,mobile
Windows|Windows 10|chrome 63.0|3000x2000,Windows,Windows 10,chrome 63.0,3000x2000,desktop
Moto Z2 Play Build/NPSS26.118-19-6||chrome 63.0 for android|,Moto Z2 Play Build/NPSS26.118-19-6,,chrome 63.0 for android,,mobile
Windows|Windows 10|edge 15.0|1360x768,Windows,Windows 10,edge 15.0,1360x768,desktop
SAMSUNG-SM-G900A Build/LMY47X|Android 5.1.1|chrome 62.0 for android|1920x1080,SAMSUNG-SM-G900A Build/LMY47X,Android 5.1.1,chrome 62.0 for android,1920x1080,mobile
SM-G930V Build/NRD90M|Android 7.0|android webview 4.0|5760x3240,SM-G930V Build/NRD90M,Android 7.0,android webview 4.0,5760x3240,mobile
iOS Device|iOS 11.2.1|mobile safari generic|2436x1125,iOS Device,iOS 11.2.1,mobile safari generic,2436x1125,mobile
SM-G935P Build/NRD90M||chrome 63.0 for android|,SM-G935P Build/NRD90M,,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_11_3|chrome 61.0|2560x1600,MacOS,Mac OS X 10_11_3,chrome 61.0,2560x1600,desktop
SM-J700M Build/LMY48B||chrome 55.0 for android|,SM-J700M Build/LMY48B,,chrome 55.0 for android,,mobile
MacOS|Mac OS X 10_13_1|chrome 61.0|2880x1800,MacOS,Mac OS X 10_13_1,chrome 61.0,2880x1800,desktop
SM-G935F Build/MMB29K||chrome 63.0 for android|,SM-G935F Build/MMB29K,,chrome 63.0 for android,,mobile
PH-1|Android 7.1.1|chrome 63.0 for android|,PH-1,Android 7.1.1,chrome 63.0 for android,,mobile
LG-H850||chrome 59.0 for android|,LG-H850,,chrome 59.0 for android,,mobile
LG-M700 Build/NMF26X||chrome 63.0 for android|,LG-M700 Build/NMF26X,,chrome 63.0 for android,,mobile
iOS Device|iOS|mobile safari uiwebview|2208x1242,iOS Device,iOS,mobile safari uiwebview,2208x1242,mobile
HTC|Android 6.0.1|chrome 62.0 for android|1280x720,HTC,Android 6.0.1,chrome 62.0 for android,1280x720,mobile
D6708|Android 5.1.1|chrome 61.0 for android|1920x1080,D6708,Android 5.1.1,chrome 61.0 for android,1920x1080,mobile
F3113 Build/33.3.A.1.97||chrome 63.0 for android|,F3113 Build/33.3.A.1.97,,chrome 63.0 for android,,mobile
XT1254 Build/MCG24.251-5-5|Android 6.0.1|chrome 61.0 for android|2560x1440,XT1254 Build/MCG24.251-5-5,Android 6.0.1,chrome 61.0 for android,2560x1440,mobile
SM-J700M Build/MMB29K|Android 6.0.1|chrome 62.0 for android|1280x720,SM-J700M Build/MMB29K,Android 6.0.1,chrome 62.0 for android,1280x720,mobile
SM-T813 Build/NRD90M|Android 7.0|chrome 63.0 for android|,SM-T813 Build/NRD90M,Android 7.0,chrome 63.0 for android,,mobile
|Linux|chrome 63.0|2560x1440,,Linux,chrome 63.0,2560x1440,desktop
en-us|Android 4.4.2|other|960x540,en-us,Android 4.4.2,other,960x540,mobile
5010G Build/MRA58K||chrome 59.0 for android|,5010G Build/MRA58K,,chrome 59.0 for android,,mobile
Pixel Build/OPM1.171019.011|Android 8.1.0|chrome 62.0 for android|,Pixel Build/OPM1.171019.011,Android 8.1.0,chrome 62.0 for android,,mobile
Windows|Windows 8.1|chrome|1920x1200,Windows,Windows 8.1,chrome,1920x1200,desktop
SM-T710 Build/NRD90M||chrome 63.0 for android|,SM-T710 Build/NRD90M,,chrome 63.0 for android,,mobile
SM-T813 Build/NRD90M|Android 7.0|chrome 63.0 for android|2048x1536,SM-T813 Build/NRD90M,Android 7.0,chrome 63.0 for android,2048x1536,mobile
SM-G935V Build/NRD90M||chrome 63.0 for android|,SM-G935V Build/NRD90M,,chrome 63.0 for android,,mobile
Windows|Windows 7|chrome 59.0|1366x768,Windows,Windows 7,chrome 59.0,1366x768,desktop
MotoG3-TE Build/MPDS24.65-33-1-30||chrome 62.0 for android|,MotoG3-TE Build/MPDS24.65-33-1-30,,chrome 62.0 for android,,mobile
Windows|Windows 10|chrome 63.0|1280x768,Windows,Windows 10,chrome 63.0,1280x768,desktop
SM-G930P Build/NRD90M|Android 7.0|chrome 62.0 for android|,SM-G930P Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
ASUS_Z00ED||android webview 4.0|,ASUS_Z00ED,,android webview 4.0,,mobile
|Linux|chrome 63.0|2961x1442,,Linux,chrome 63.0,2961x1442,desktop
Windows|Windows 7|chrome 61.0|1440x900,Windows,Windows 7,chrome 61.0,1440x900,desktop
Windows|Windows 8.1|opera 49.0|1366x768,Windows,Windows 8.1,opera 49.0,1366x768,desktop
rv:50.0|Mac OS X 10.11|firefox|1920x1080,rv:50.0,Mac OS X 10.11,firefox,1920x1080,desktop
MacOS|Mac OS X 10_12_3|safari generic|1280x800,MacOS,Mac OS X 10_12_3,safari generic,1280x800,desktop
Windows|Windows 7|chrome 63.0|1152x864,Windows,Windows 7,chrome 63.0,1152x864,desktop
SAMSUNG-SM-G930A Build/NRD90M||chrome 63.0 for android|,SAMSUNG-SM-G930A Build/NRD90M,,chrome 63.0 for android,,mobile
||edge 16.0|,,,edge 16.0,,desktop
MacOS|Mac OS X 10_11_6|chrome 60.0|1440x900,MacOS,Mac OS X 10_11_6,chrome 60.0,1440x900,desktop
LG-H910 Build/NRD90M|Android 7.0|chrome 63.0 for android|2560x1440,LG-H910 Build/NRD90M,Android 7.0,chrome 63.0 for android,2560x1440,mobile
rv:45.0|Mac OS X 10.11|firefox|1920x1200,rv:45.0,Mac OS X 10.11,firefox,1920x1200,desktop
MacOS|Mac OS X 10_11_4|chrome 63.0|1440x900,MacOS,Mac OS X 10_11_4,chrome 63.0,1440x900,desktop
SM-J710MN Build/MMB29K||chrome 50.0 for android|,SM-J710MN Build/MMB29K,,chrome 50.0 for android,,mobile
Ilium LT510 Build/MRA58K||chrome 50.0 for android|,Ilium LT510 Build/MRA58K,,chrome 50.0 for android,,mobile
Windows|Windows 10|chrome|1680x1050,Windows,Windows 10,chrome,1680x1050,desktop
C6743 Build/LMY47V|Android 5.1.1|chrome 62.0 for android|960x540,C6743 Build/LMY47V,Android 5.1.1,chrome 62.0 for android,960x540,mobile
SM-J701M Build/NRD90M||chrome 63.0 for android|,SM-J701M Build/NRD90M,,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_12_4|chrome 62.0|1280x800,MacOS,Mac OS X 10_12_4,chrome 62.0,1280x800,desktop
iOS Device|iOS 10.3.2|mobile safari 10.0|2224x1668,iOS Device,iOS 10.3.2,mobile safari 10.0,2224x1668,mobile
iOS Device|iOS 11.0.0|mobile safari 11.0|2001x1125,iOS Device,iOS 11.0.0,mobile safari 11.0,2001x1125,mobile
HUAWEI G7-L03 Build/HuaweiG7-L03||chrome 63.0 for android|,HUAWEI G7-L03 Build/HuaweiG7-L03,,chrome 63.0 for android,,mobile
BLN-L24 Build/HONORBLN-L24|Android 7.0|chrome 63.0 for android|1920x1080,BLN-L24 Build/HONORBLN-L24,Android 7.0,chrome 63.0 for android,1920x1080,mobile
LG-K550 Build/NRD90U|Android 7.0|chrome 60.0 for android|1280x720,LG-K550 Build/NRD90U,Android 7.0,chrome 60.0 for android,1280x720,mobile
BLADE L7 Build/MRA58K||chrome 63.0 for android|,BLADE L7 Build/MRA58K,,chrome 63.0 for android,,mobile
MacOS|Mac OS X 10_6_8|chrome 49.0|1440x900,MacOS,Mac OS X 10_6_8,chrome 49.0,1440x900,desktop
iOS Device|iOS 11.2.1|mobile safari generic|2208x1242,iOS Device,iOS 11.2.1,mobile safari generic,2208x1242,mobile
Nexus 5 Build/M4B30Z||chrome 63.0 for android|,Nexus 5 Build/M4B30Z,,chrome 63.0 for android,,mobile
Windows|Windows 7|chrome 63.0|2880x1620,Windows,Windows 7,chrome 63.0,2880x1620,desktop
Windows|Windows 10|ie 11.0 for desktop|1680x1050,Windows,Windows 10,ie 11.0 for desktop,1680x1050,desktop
Trident/7.0|Windows 7|ie 11.0 for desktop|1600x1200,Trident/7.0,Windows 7,ie 11.0 for desktop,1600x1200,desktop
LG-D693n Build/LRX22G||chrome 61.0 for android|,LG-D693n Build/LRX22G,,chrome 61.0 for android,,mobile
Windows|Windows 7|chrome 59.0|1280x1024,Windows,Windows 7,chrome 59.0,1280x1024,desktop
Windows|Windows 7|chrome 63.0|3441x1440,Windows,Windows 7,chrome 63.0,3441x1440,desktop
SAMSUNG SM-G920F Build/NRD90M||samsung browser 6.2|,SAMSUNG SM-G920F Build/NRD90M,,samsung browser 6.2,,mobile
Windows|Windows 7|firefox 56.0|1280x800,Windows,Windows 7,firefox 56.0,1280x800,desktop
iOS Device|iOS 11.1.1|mobile safari uiwebview|2048x1536,iOS Device,iOS 11.1.1,mobile safari uiwebview,2048x1536,mobile
rv:54.0|Windows 7|firefox|1920x1080,rv:54.0,Windows 7,firefox,1920x1080,desktop
SM-G930V Build/NRD90M||chrome 62.0 for android|,SM-G930V Build/NRD90M,,chrome 62.0 for android,,mobile
XT1609 Build/MPIS24.241-2.35-1-17|Android 6.0.1|chrome 62.0 for android|1280x720,XT1609 Build/MPIS24.241-2.35-1-17,Android 6.0.1,chrome 62.0 for android,1280x720,mobile
MacOS|Mac|chrome 61.0|1366x768,MacOS,Mac,chrome 61.0,1366x768,desktop
MacOS|Mac OS X 10_11_5|safari generic|1920x1200,MacOS,Mac OS X 10_11_5,safari generic,1920x1200,desktop
Windows|Windows 8|ie 11.0 for desktop|1366x768,Windows,Windows 8,ie 11.0 for desktop,1366x768,desktop
TA-1039 Build/NMF26F||chrome 63.0 for android|,TA-1039 Build/NMF26F,,chrome 63.0 for android,,mobile
Windows|Windows 10|chrome generic|1366x768,Windows,Windows 10,chrome generic,1366x768,desktop
MacOS|Mac|chrome 61.0|2560x1600,MacOS,Mac,chrome 61.0,2560x1600,desktop
Windows|Windows 7|ie 11.0 for desktop|1600x900,Windows,Windows 7,ie 11.0 for desktop,1600x900,desktop
BLL-L23 Build/HUAWEIBLL-L23||other|,BLL-L23 Build/HUAWEIBLL-L23,,other,,mobile
hi6210sft Build/MRA58K||chrome 63.0 for android|,hi6210sft Build/MRA58K,,chrome 63.0 for android,,mobile
iOS Device|iOS 9.3.5|mobile safari 9.0|2732x2048,iOS Device,iOS 9.3.5,mobile safari 9.0,2732x2048,mobile
rv:53.0|Mac OS X 10.11|firefox|2560x1600,rv:53.0,Mac OS X 10.11,firefox,2560x1600,desktop
XT1563 Build/MPD24.107-52||chrome 61.0 for android|,XT1563 Build/MPD24.107-52,,chrome 61.0 for android,,mobile
KFSUWI Build/LVY48F|Android 5.1.1|chrome generic|1920x1200,KFSUWI Build/LVY48F,Android 5.1.1,chrome generic,1920x1200,mobile
5010G Build/MRA58K||chrome 63.0 for android|,5010G Build/MRA58K,,chrome 63.0 for android,,mobile
Z798BL Build/MMB29M|Android 6.0.1|android webview 4.0|855x480,Z798BL Build/MMB29M,Android 6.0.1,android webview 4.0,855x480,mobile
SM-T350 Build/MMB29M|Android 6.0.1|chrome 61.0 for android|1024x768,SM-T350 Build/MMB29M,Android 6.0.1,chrome 61.0 for android,1024x768,mobile
SM-G900P Build/MMB29M|Android 6.0.1|chrome 63.0 for android|1920x1080,SM-G900P Build/MMB29M,Android 6.0.1,chrome 63.0 for android,1920x1080,mobile
LG-H631|Android 6.0|chrome 59.0 for android|1280x720,LG-H631,Android 6.0,chrome 59.0 for android,1280x720,mobile
MacOS|Mac OS X 10_12_3|chrome 59.0|1440x900,MacOS,Mac OS X 10_12_3,chrome 59.0,1440x900,desktop
iOS Device|iOS 10.2.1|mobile safari generic|1136x640,iOS Device,iOS 10.2.1,mobile safari generic,1136x640,mobile
Moto X Play Build/NPD26.48-24-1||chrome 63.0 for android|,Moto X Play Build/NPD26.48-24-1,,chrome 63.0 for android,,mobile
SM-J701M Build/NRD90M||other|,SM-J701M Build/NRD90M,,other,,mobile
MacOS|Mac OS X 10_9_5|chrome 63.0|1920x1200,MacOS,Mac OS X 10_9_5,chrome 63.0,1920x1200,desktop
Windows|Windows 10|chrome 63.0|1152x864,Windows,Windows 10,chrome 63.0,1152x864,desktop
LGMS210 Build/NRD90U|Android 7.0|chrome 63.0 for android|1280x720,LGMS210 Build/NRD90U,Android 7.0,chrome 63.0 for android,1280x720,mobile
Ilium LT510 Build/MRA58K||chrome 57.0 for android|,Ilium LT510 Build/MRA58K,,chrome 57.0 for android,,mobile
MacOS|Mac OS X 10_11_6|chrome 63.0|4096x2304,MacOS,Mac OS X 10_11_6,chrome 63.0,4096x2304,desktop
Windows|Windows 7|chrome 60.0|1920x1200,Windows,Windows 7,chrome 60.0,1920x1200,desktop
SM-J700M Build/MMB29K||chrome 59.0 for android|,SM-J700M Build/MMB29K,,chrome 59.0 for android,,mobile
rv:45.0||firefox|,rv:45.0,,firefox,,desktop
rv:35.0|Mac OS X 10.9|firefox|2560x1600,rv:35.0,Mac OS X 10.9,firefox,2560x1600,desktop
Windows|Windows 8|chrome 61.0|,Windows,Windows 8,chrome 61.0,,desktop
KFMEWI|Android 5.1.1|chrome generic|,KFMEWI,Android 5.1.1,chrome generic,,mobile
LGLS991|Android 6.0|chrome 58.0 for android|2560x1440,LGLS991,Android 6.0,chrome 58.0 for android,2560x1440,mobile
MacOS|Mac OS X 10_11_6|chrome 62.0|3200x1800,MacOS,Mac OS X 10_11_6,chrome 62.0,3200x1800,desktop
Windows|Windows 10|chrome 63.0|5760x1080,Windows,Windows 10,chrome 63.0,5760x1080,desktop
Nexus 6P Build/OPR5.170623.014|||,Nexus 6P Build/OPR5.170623.014,,,,mobile
MDDRJS|Windows 7|ie 11.0 for desktop|1280x1024,MDDRJS,Windows 7,ie 11.0 for desktop,1280x1024,desktop
SM-G955U Build/NRD90M|Android 7.0|chrome 63.0 for android|2961x1442,SM-G955U Build/NRD90M,Android 7.0,chrome 63.0 for android,2961x1442,mobile
SM-G532M Build/MMB29T||chrome 62.0 for android|,SM-G532M Build/MMB29T,,chrome 62.0 for android,,mobile
Le X520 Build/IEXCNFN5902303111S||chrome 62.0 for android|,Le X520 Build/IEXCNFN5902303111S,,chrome 62.0 for android,,mobile
rv:56.0|Windows 7|firefox 56.0|1024x768,rv:56.0,Windows 7,firefox 56.0,1024x768,desktop
iOS Device|iOS 10.3.1|mobile safari generic|2001x1125,iOS Device,iOS 10.3.1,mobile safari generic,2001x1125,mobile
SAMSUNG SM-N950U Build/NMF26X|Android 7.1.1|samsung|,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung,,mobile
Moto|Android 6.0.1|chrome 59.0 for android|1280x720,Moto,Android 6.0.1,chrome 59.0 for android,1280x720,mobile
NOKIA||edge|,NOKIA,,edge,,mobile
rv:11.0|Windows 10|ie 11.0 for desktop|1280x768,rv:11.0,Windows 10,ie 11.0 for desktop,1280x768,desktop
SM-J500M Build/MMB29M||chrome 50.0 for android|,SM-J500M Build/MMB29M,,chrome 50.0 for android,,mobile
|Linux|chrome 63.0|1920x1080,,Linux,chrome 63.0,1920x1080,desktop
MacOS|Mac OS X 10_9_5|chrome 63.0|1280x800,MacOS,Mac OS X 10_9_5,chrome 63.0,1280x800,desktop
SM-P900|Android 5.0.2|chrome 63.0 for android|2560x1600,SM-P900,Android 5.0.2,chrome 63.0 for android,2560x1600,mobile
iOS Device|iOS|other|1024x768,iOS Device,iOS,other,1024x768,mobile
Windows|Windows 7|chrome 63.0|3072x1728,Windows,Windows 7,chrome 63.0,3072x1728,desktop
rv:57.0|Android 7.0|Generic/Android 7.0|1200x720,rv:57.0,Android 7.0,Generic/Android 7.0,1200x720,mobile
rv:57.0|Windows 10|firefox|1920x1080,rv:57.0,Windows 10,firefox,1920x1080,desktop
Windows|Windows 8.1|chrome 63.0|2560x1440,Windows,Windows 8.1,chrome 63.0,2560x1440,desktop
LG-K200 Build/MXB48T||chrome 63.0 for android|,LG-K200 Build/MXB48T,,chrome 63.0 for android,,mobile
